player_name,team_name,shot_zone_basic,games_played,shot_attempts,shots_made,shooting_percentage,player_photo,team_logo
Jabari Smith Jr.,Houston Rockets,In The Paint (Non-RA),76,132,55,0.416666666666667,https://cdn.nba.com/headshots/nba/latest/1040x760/1631095.png,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
Miles McBride,New York Knicks,Left Corner 3,68,60,25,0.416666666666667,https://cdn.nba.com/headshots/nba/latest/1040x760/1630540.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg
Naz Reid,Minnesota Timberwolves,In The Paint (Non-RA),81,180,75,0.416666666666667,https://cdn.nba.com/headshots/nba/latest/1040x760/1629675.png,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg
Naz Reid,Minnesota Timberwolves,Left Corner 3,81,60,25,0.416666666666667,https://cdn.nba.com/headshots/nba/latest/1040x760/1629675.png,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg
Pascal Siakam,Toronto Raptors,Right Corner 3,80,24,10,0.416666666666667,https://cdn.nba.com/headshots/nba/latest/1040x760/1627783.png,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg
Stanley Umude,Detroit Pistons,Above the Break 3,24,24,10,0.416666666666667,https://cdn.nba.com/headshots/nba/latest/1040x760/1630649.png,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg
Mikal Bridges,Brooklyn Nets,In The Paint (Non-RA),82,262,109,0.416030534351145,https://cdn.nba.com/headshots/nba/latest/1040x760/1628969.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
Markelle Fultz,Orlando Magic,In The Paint (Non-RA),43,101,42,0.415841584158416,https://cdn.nba.com/headshots/nba/latest/1040x760/1628365.png,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg
Kevon Looney,Golden State Warriors,In The Paint (Non-RA),74,65,27,0.415384615384615,https://cdn.nba.com/headshots/nba/latest/1040x760/1626172.png,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Marcus Morris Sr.,Philadelphia 76ers,Above the Break 3,49,65,27,0.415384615384615,https://cdn.nba.com/headshots/nba/latest/1040x760/202694.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
Stephen Curry,Golden State Warriors,Mid-Range,74,183,76,0.415300546448087,https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Donte DiVincenzo,New York Knicks,Left Corner 3,81,106,44,0.415094339622642,https://cdn.nba.com/headshots/nba/latest/1040x760/1628978.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg
Nick Smith Jr.,Charlotte Hornets,In The Paint (Non-RA),51,53,22,0.415094339622642,https://cdn.nba.com/headshots/nba/latest/1040x760/1641733.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
Ziaire Williams,Memphis Grizzlies,Right Corner 3,51,41,17,0.414634146341463,https://cdn.nba.com/headshots/nba/latest/1040x760/1630533.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg
Gordon Hayward,Charlotte Hornets,In The Paint (Non-RA),51,87,36,0.413793103448276,https://cdn.nba.com/headshots/nba/latest/1040x760/202330.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
Jalen Green,Houston Rockets,Left Corner 3,82,29,12,0.413793103448276,https://cdn.nba.com/headshots/nba/latest/1040x760/1630224.png,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
Michael Porter Jr.,Denver Nuggets,Left Corner 3,81,87,36,0.413793103448276,https://cdn.nba.com/headshots/nba/latest/1040x760/1629008.png,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg
Zach LaVine,Chicago Bulls,In The Paint (Non-RA),25,29,12,0.413793103448276,https://cdn.nba.com/headshots/nba/latest/1040x760/203897.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
Bobby Portis,Milwaukee Bucks,Above the Break 3,82,138,57,0.41304347826087,https://cdn.nba.com/headshots/nba/latest/1040x760/1626171.png,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
De'Andre Hunter,Atlanta Hawks,Right Corner 3,57,46,19,0.41304347826087,https://cdn.nba.com/headshots/nba/latest/1040x760/1629631.png,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg
